access_time,failed_logins,file_changes,data_exfiltrated,unusual_access_pattern,label
2024-10-28 03:23:03.561400,3,7,1.65,0,0
2024-11-14 10:32:03.561400,1,8,5.77,0,0
2024-11-04 01:37:03.561400,0,1,3.86,1,1
2024-10-15 10:59:03.561400,2,1,0.07,1,1
2025-01-31 10:23:03.561400,5,26,5.55,0,0
2024-10-26 16:44:03.561400,0,47,4.84,0,1
2024-10-20 00:33:03.561400,1,38,0.41,0,0
2024-12-26 19:37:03.561400,2,35,6.88,0,0
2024-09-11 13:31:03.561400,1,4,3.69,0,0
2024-11-07 19:42:03.561400,3,0,1.15,0,0
2024-12-30 16:23:03.561400,2,21,4.1,0,0
2024-11-29 07:11:03.561400,2,9,4.53,1,1
2024-10-04 05:03:03.561400,4,44,12.64,0,1
2024-10-21 17:32:03.561400,4,23,6.78,0,0
2024-10-31 04:09:03.561400,0,14,1.8,0,0
2024-12-04 02:48:03.561400,3,32,0.63,0,0
2024-12-15 07:40:03.561400,3,49,9.59,0,1
2024-08-15 13:48:03.561400,1,22,9.36,0,0
2024-09-01 23:35:03.561400,4,13,0.96,0,0
2024-09-20 03:06:03.561400,3,17,0.32,0,0
2024-09-18 11:05:03.561400,1,24,6.22,1,1
2024-08-04 23:34:03.561400,1,21,6.41,0,0
2024-09-14 22:20:03.561400,1,43,0.97,0,1
2024-12-17 04:32:03.561400,1,43,5.52,1,1
2024-09-18 12:50:03.561400,1,36,1.64,0,0
2025-01-26 22:34:03.561400,1,6,1.51,0,0
2024-12-20 16:06:03.561400,1,25,1.96,0,0
2024-08-08 03:16:03.561400,6,23,3.67,1,1
2024-10-15 05:20:03.561400,2,12,8.16,0,0
2025-01-15 04:41:03.561400,0,40,3.45,0,0
2024-12-31 04:21:03.561400,2,5,1.77,0,0
2024-12-10 18:24:03.561400,1,20,10.77,0,1
2024-10-02 16:30:03.561400,2,6,0.28,0,0
2024-11-23 09:30:03.561400,3,17,7.98,0,0
2024-12-23 10:09:03.561400,2,14,7.67,1,1
2025-01-31 04:00:03.561400,1,7,1.46,0,0
2025-01-07 01:33:03.561400,4,15,1.11,0,0
2024-11-03 03:33:03.561400,2,48,10.39,0,1
2025-01-16 18:07:03.561400,5,2,4.09,0,0
2024-11-21 06:55:03.561400,0,44,0.24,0,1
2024-10-02 02:43:03.561400,1,8,11.07,0,1
2024-10-28 13:02:03.561400,0,46,2.15,1,1
2024-11-16 06:28:03.561400,2,25,2.09,0,0
2024-11-03 02:08:03.561400,1,25,5.15,1,1
2024-08-06 08:32:03.561400,2,29,5.41,0,0
2024-10-29 11:00:03.561400,2,26,2.18,0,0
2024-12-14 13:07:03.561400,2,15,0.77,1,1
2024-09-19 02:10:03.561400,3,47,4.02,1,1
2024-11-02 17:06:03.561400,1,3,4.91,1,1
2024-10-02 05:39:03.561400,1,18,9.84,0,0
2024-11-28 07:30:03.561400,3,33,3.31,0,0
2024-10-26 07:51:03.561400,2,5,5.19,1,1
2024-09-20 06:40:03.561400,5,44,0.28,0,1
2024-09-12 22:51:03.561400,2,14,11.25,0,1
2024-09-19 20:08:03.561400,0,9,1.98,1,1
2024-08-26 08:36:03.561400,1,41,5.0,0,1
2024-10-24 03:41:03.561400,2,35,12.39,0,1
2024-08-12 08:39:03.561400,2,45,8.32,0,1
2024-09-21 10:17:03.561400,4,39,5.08,1,1
2024-08-07 03:35:03.561400,2,5,6.08,0,0
2024-09-02 08:11:03.561400,2,43,12.69,0,1
2025-01-09 07:53:03.561400,1,39,8.36,1,1
2025-01-29 19:25:03.561400,3,5,4.71,0,0
2024-12-29 01:15:03.561400,3,14,5.38,1,1
2024-10-04 01:58:03.561400,4,28,0.8,0,0
2024-11-10 20:24:03.561400,5,24,3.18,0,0
2024-08-10 13:17:03.561400,0,18,1.79,0,0
2025-01-18 01:36:03.561400,0,13,2.83,0,0
2025-01-17 20:34:03.561400,3,2,5.43,0,0
2024-12-24 20:06:03.561400,0,49,0.81,0,1
2024-12-03 07:58:03.561400,2,41,0.09,1,1
2024-12-26 15:09:03.561400,4,45,2.53,0,1
2024-11-20 01:34:03.561400,3,13,1.94,0,0
2024-09-20 18:33:03.561400,0,38,2.73,1,1
2025-01-27 00:06:03.561400,0,38,13.38,0,1
2024-10-29 17:28:03.561400,2,20,6.14,1,1
2025-01-26 10:40:03.561400,2,10,1.98,1,1
2024-10-26 21:39:03.561400,1,49,0.99,0,1
2024-11-19 18:40:03.561400,2,9,4.82,0,0
2024-10-29 19:23:03.561400,0,14,5.36,0,0
2024-09-07 04:00:03.561400,3,29,3.3,1,1
2025-01-29 13:53:03.561400,0,43,1.2,0,1
2024-08-16 08:44:03.561400,0,16,0.14,0,0
2024-10-20 04:35:03.561400,1,28,1.54,1,1
2024-10-17 10:15:03.561400,2,16,3.05,0,0
2024-09-29 01:22:03.561400,1,32,7.75,0,0
2024-08-29 09:25:03.561400,4,37,9.61,1,1
2025-01-06 09:44:03.561400,5,20,2.66,1,1
2024-12-20 01:58:03.561400,1,46,7.95,0,1
2024-12-21 17:16:03.561400,2,13,25.07,0,1
2025-01-04 14:32:03.561400,3,9,6.3,0,0
2024-08-17 23:02:03.561400,3,41,6.52,0,1
2024-12-19 16:34:03.561400,2,22,12.01,0,1
2024-12-27 01:46:03.561400,0,38,2.06,1,1
2025-01-18 05:46:03.561400,0,38,0.06,1,1
2024-09-28 06:38:03.561400,0,13,21.71,0,1
2024-09-10 06:00:03.561400,3,46,3.37,0,1
2024-12-01 18:34:03.561400,1,21,7.7,0,0
2024-08-11 04:17:03.561400,5,40,8.37,0,0
2024-12-05 05:55:03.561400,2,27,2.53,0,0
2024-12-23 18:06:03.561400,3,46,3.9,0,1
2024-12-22 22:08:03.561400,4,8,3.88,0,0
2024-12-19 02:14:03.561400,0,22,1.24,1,1
2024-08-30 04:30:03.561400,0,6,0.63,0,0
2025-01-06 10:10:03.561400,0,23,3.92,0,0
2024-10-12 09:44:03.561400,1,42,0.64,0,1
2024-11-26 02:43:03.561400,1,36,2.12,0,0
2025-01-31 05:08:03.561400,1,8,1.03,0,0
2024-08-12 10:59:03.561400,1,37,6.14,0,0
2025-01-08 05:00:03.561400,2,6,10.28,0,1
2024-09-01 12:02:03.561400,1,22,4.31,0,0
2025-01-30 10:35:03.561400,1,24,2.64,0,0
2024-10-06 21:52:03.561400,3,45,28.48,0,1
2024-08-05 03:41:03.561400,1,21,0.11,1,1
2025-01-04 19:46:03.561400,2,42,1.81,1,1
2024-09-12 01:16:03.561400,1,6,1.63,0,0
2025-01-04 20:09:03.561400,2,5,2.2,0,0
2024-08-20 14:12:03.561400,3,35,1.31,0,0
2024-08-21 07:45:03.561400,3,45,1.53,1,1
2024-12-24 21:42:03.561400,0,21,1.49,0,0
2024-09-30 22:43:03.561400,2,34,3.52,0,0
2024-08-10 21:13:03.561400,0,48,2.48,0,1
2024-10-03 17:32:03.561400,3,46,5.1,0,1
2024-08-12 21:50:03.561400,3,32,3.61,0,0
2024-12-17 17:01:03.561400,1,20,1.01,0,0
2025-01-02 17:36:03.561400,0,10,8.3,0,0
